*****
Patient: *id_1*
Time: *12-36-35-15-01-2016*
-----
Time;Position;Rotation.X;Rotation.Y;Focus;FPS;Input;
55.8994;(-474.6000, 101.7761, -181.3600);6.1181;0.0000;[no object in focus];Infinity;;
56.2884;(-474.6000, 101.7565, -181.3600);6.1181;0.0000;[no object in focus];212.3009;;
56.3531;(-474.6000, 101.6976, -181.3600);6.1181;0.0000;[no object in focus];103.1378;;
56.3546;(-474.6000, 101.6701, -181.3600);6.1181;0.0000;[no object in focus];66.0757;;
56.4338;(-474.6000, 101.5210, -181.3600);6.1181;0.0000;[no object in focus];66.0757;;
56.4578;(-474.6000, 101.4229, -181.3600);6.1181;0.0000;[no object in focus];46.4322;;
56.5237;(-474.6000, 101.2463, -181.3600);6.1181;0.0000;[no object in focus];43.2221;;
56.5561;(-474.6000, 101.2521, -181.3600);6.1181;0.0000;[no object in focus];41.6896;;
56.6070;(-474.6000, 101.2524, -181.3600);6.1181;0.0000;[no object in focus];40.0327;;
56.6562;(-474.6000, 101.2524, -181.3600);6.1181;0.0000;[no object in focus];41.2852;;
56.7079;(-474.6000, 101.2524, -181.3600);6.1181;0.0000;[no object in focus];39.7205;;
56.7575;(-474.6000, 101.2524, -181.3600);6.1181;0.0000;[no object in focus];40.9317;;
56.8240;(-474.6000, 101.2524, -181.3600);6.1181;0.0000;[no object in focus];38.3797;;
56.8739;(-474.6000, 101.2524, -181.3600);6.1181;0.0000;[no object in focus];38.6110;;
56.9087;(-474.6000, 101.2524, -181.3600);6.1181;0.0000;[no object in focus];36.7476;;
56.9575;(-474.6000, 101.2524, -181.3600);6.1181;0.0000;[no object in focus];36.0038;;
57.0077;(-474.6000, 101.2524, -181.3600);6.1181;0.0000;[no object in focus];38.0225;;
57.0732;(-474.6000, 101.2524, -181.3600);6.1181;0.0000;[no object in focus];37.0291;;
57.1254;(-474.6000, 101.2524, -181.3600);6.1181;0.0000;[no object in focus];37.6478;;
57.1589;(-474.6000, 101.2524, -181.3600);6.1181;0.0000;[no object in focus];36.6640;;
57.2215;(-104.1799, 103.0139, 113.6899);6.1181;0.0000;[no object in focus];36.5608;;
57.3416;(-104.1799, 102.9904, 113.6899);6.1181;0.0000;[no object in focus];36.5608;;
57.3530;(-104.1799, 102.9315, 113.6899);6.1181;0.0000;[no object in focus];32.7376;;
57.3549;(-104.1799, 102.9040, 113.6899);6.1181;0.0000;[no object in focus];27.7535;;
57.3990;(-104.1799, 102.7981, 113.6899);6.1181;0.0000;[no object in focus];32.7366;;
57.4498;(-104.1799, 102.7078, 113.6899);6.1181;0.0000;[no object in focus];37.2267;;
57.4991;(-104.1799, 102.5430, 113.6899);6.1181;0.0000;[no object in focus];41.5784;;
57.5486;(-104.1799, 102.4135, 113.6899);6.1181;0.0000;[no object in focus];45.4682;;
57.5994;(-104.1799, 102.1899, 113.6899);6.1181;0.0000;[no object in focus];48.4936;;
57.6489;(-104.1799, 102.0211, 113.6899);6.1181;0.0000;[no object in focus];51.3124;;
57.6997;(-104.1799, 101.7386, 113.6899);6.1181;0.0000;[no object in focus];53.2250;;
57.7488;(-104.1799, 101.5306, 113.6899);6.1181;0.0000;[no object in focus];55.1612;;
57.7992;(-104.1799, 101.1892, 113.6899);6.1181;0.0000;[no object in focus];56.3130;;
57.8497;(-104.1799, 101.2498, 113.6899);6.1181;0.0000;[no object in focus];57.0745;;
57.8996;(-104.1799, 101.2523, 113.6899);6.1181;0.0000;[no object in focus];57.8097;;
57.9487;(-104.1799, 101.2524, 113.6899);6.1181;0.0000;[no object in focus];58.6517;;
57.9990;(-104.1799, 101.2524, 113.6899);6.1181;0.0000;[no object in focus];58.9514;;
58.0495;(-104.1799, 101.2524, 113.6899);6.1181;0.0000;[no object in focus];59.0464;;
58.0990;(-104.1799, 101.2524, 113.6899);6.1181;0.0000;[no object in focus];59.4911;;
58.1490;(-104.1799, 101.2524, 113.6899);6.1181;0.0000;[no object in focus];59.6463;;
58.1998;(-104.1799, 101.2524, 113.6899);6.1181;0.0000;[no object in focus];59.4940;;
58.2491;(-104.1799, 101.2524, 113.6899);6.1181;0.0000;[no object in focus];59.8132;;
58.3869;(-104.1799, 101.2524, 113.6899);6.1181;0.0000;[no object in focus];56.7219;;
58.3952;(-104.1799, 101.2524, 113.6899);6.1181;0.0000;[no object in focus];56.7219;;
58.3970;(-104.1799, 101.2524, 113.6899);6.1181;0.0000;[no object in focus];40.8256;;
58.4498;(-104.1799, 101.2524, 113.6899);6.1181;0.0000;[no object in focus];43.8815;;
58.4997;(-104.1799, 101.2524, 113.6899);6.1181;0.0000;[no object in focus];47.3457;;
58.5500;(-104.1799, 101.2524, 113.6899);6.1181;0.0000;[no object in focus];50.1559;;
58.5997;(-104.1799, 101.2524, 113.6899);6.1181;0.0000;[no object in focus];52.5362;;
58.6507;(-104.1799, 101.2524, 113.6899);6.1181;0.0000;[no object in focus];54.0858;;
58.7005;(-104.1799, 101.2524, 113.6899);6.1181;0.0000;[no object in focus];55.6434;;
58.7502;(-104.1799, 101.2524, 113.6899);6.1181;0.0000;[no object in focus];56.8280;;
58.8006;(-104.1799, 101.2524, 113.6899);8.1746;0.0000;[no object in focus];57.5115;;
58.8512;(-104.1799, 101.2524, 113.6899);16.1272;0.0000;[no object in focus];57.7843;;
58.8979;(-104.1799, 101.2524, 113.6899);25.4927;0.0000;[no object in focus];54.2837;;
58.9512;(-104.1799, 101.2524, 113.6899);35.2930;0.0000;[no object in focus];54.7427;;
59.0020;(-104.1799, 101.2524, 113.6899);46.3566;0.0000;[no object in focus];55.9883;;
59.0515;(-104.1799, 101.2524, 113.6899);57.9974;0.0000;[no object in focus];56.9960;;
59.1045;(-104.1799, 101.2524, 113.6899);70.2672;0.0000;[no object in focus];57.0584;;
59.1620;(-104.1799, 101.2524, 113.6899);78.7352;0.0000;[no object in focus];56.4082;;
59.2056;(-104.1799, 101.2524, 113.6899);85.2275;0.0000;[no object in focus];53.7276;;
59.2545;(-104.1799, 101.2524, 113.6899);86.1874;0.0000;[no object in focus];54.7314;;
59.3067;(-104.1799, 101.2524, 113.6899);86.8828;0.0000;[no object in focus];56.1929;;
59.3550;(-104.1799, 101.2524, 113.6899);86.9913;0.0000;[no object in focus];56.9575;;
59.4059;(-104.1799, 101.2524, 113.6899);87.0715;0.0000;[no object in focus];58.0206;;
59.4550;(-104.1799, 101.2524, 113.6899);87.0845;0.0000;[no object in focus];58.5183;;
59.5059;(-104.1799, 101.2524, 113.6899);87.0941;0.0000;[no object in focus];58.9889;;
59.5554;(-104.1799, 101.2524, 113.6899);87.0956;0.0000;[no object in focus];59.0711;;
59.6067;(-104.1799, 101.2524, 113.6899);81.3444;0.0000;[no object in focus];59.2142;;
59.6549;(-104.1799, 101.2524, 113.6899);75.3760;0.0000;[no object in focus];59.8363;;
59.7030;(-104.1799, 101.2524, 113.6899);62.0764;0.0000;[no object in focus];60.6894;;
59.7514;(-104.1799, 101.2524, 113.6899);57.8350;0.0000;[no object in focus];60.7838;;
